가샤 이름| 시작 날짜
0차 어서오세요! 프로듀서 가샤|2017-06-29
1차 여름이다! 바다다! 한여름의 해수욕 가샤|2017-07-13
2차 아이돌의 일상 가샤 VOL.1|2017-07-24
3차 수영복으로 리플레쉬♪ 리조트 라이브 가샤|2017-07-31
4차 아이돌의 일상 가샤 VOL.2|2017-08-09
5차 스플래시 섬머 가샤|2017-08-22
6차 아쿠아리움 라이브 가샤|2017-08-31
7차 매지컬 걸 가샤|2017-09-12
8차 힘차게 행진! 아이돌마칭 페스티벌 가샤|2017-09-20
9차 트릭 오어 트리트! 할로윈 타운 가샤|2017-09-30
10차 메르헨 드림월드 가샤|2017-10-11
11차 Let's 프로모션! CM 촬영 가샤|2017-10-20
12차 가을색으로 물들어♪ 엔조이 오텀 가샤|2017-10-31
13차 아이돌의 일상 가샤 VOL.3|2017-11-13
14차 매혹의 레이스 퀸 가샤|2017-11-21
15차 다 같이 즐거운 크리스마스 파티♪ 가샤|2017-11-30
16차 남쪽섬에서 캠프 가샤|2017-12-13
17차 드리미 플래닛 가샤|2017-12-21
18차 신년! 첫 참배 라이브 가샤|2017-12-31
19차 목표는 여자력 UP! 가샤|2018-01-15
20차 아이돌 패션쇼 가샤|2018-01-26
21차 스위트 발렌타인 데이트 가샤|2018-01-31
22차 아이돌 눈축제 가샤|2018-02-11
23차 파자마로 그라비아 촬영 가샤|2018-02-20
24차 복숭아빛♪ 아이돌 히나마츠리 가샤|2018-02-28
25차 쇼핑 홀리데이 가샤|2018-03-14
26차 쿨하게 끝내라! 배틀 걸 가샤|2018-03-23
27차 아이돌의 일상 가샤 VOL.4|2018-03-31
28차 벚꽃만개☆블루밍 가샤|2018-04-11
29차 밀리언 스몰 월드 가샤|2018-04-22
30차 초여름의 축제 가샤|2018-04-30
31차 그라비아 챌린지 가샤|2018-05-11
32차 얼리 섬머 걸 가샤|2018-05-22
33차 해피 브라이드 가샤|2018-05-31
34차 웨스턴 걸 가샤|2018-06-12
35차 캠페인 걸 가샤|2018-06-18
36차 수영복 패션쇼 라이브 가샤|2018-07-03
